"BRISONr","genotype","baking_qulaity","country","breeder","breeding_progress","phaseI","phaseII","RYear"
"BRISONr_47","Potenzial","A","DE","DSV",TRUE,TRUE,TRUE,2006
"BRISONr_48","Gaucho",NA,"USA","USDA-ARS, Oklahoma AES",TRUE,TRUE,FALSE,1993
"BRISONr_49","Tarso","A","DE","Saatzucht Hadmersleben",TRUE,TRUE,FALSE,1992
"BRISONr_5","Rebell","A","DE","RAGT ",TRUE,TRUE,FALSE,2013
"BRISONr_50","Hermann","Ck","DE","Limagrain-Nickerson",TRUE,TRUE,TRUE,2004
"BRISONr_51","Glaucus","A","DE","Strube Saatzucht",TRUE,TRUE,FALSE,2011
"BRISONr_52","Tuareg","A","DE","Nordsaat Saatzucht",TRUE,TRUE,FALSE,2005
"BRISONr_53","Atomic","A","DE","LIMAGRAIN GmbH",TRUE,TRUE,FALSE,2012
"BRISONr_54","Tobak","B","DE","W.v.Borries-Eckendorf",TRUE,TRUE,TRUE,2011
"BRISONr_55","Pionier","A","DE","Deutsche Saatveredelung",TRUE,TRUE,FALSE,2013
"BRISONr_56","Manager","B","DE","Saatzucht Schweiger GbR",TRUE,TRUE,TRUE,2006
"BRISONr_57","Gourmet","E","DE","Secobra Recherches",TRUE,TRUE,FALSE,2013
"BRISONr_58","Limes","B","DE","Innoseeds",TRUE,TRUE,FALSE,2003
"BRISONr_59","Ritmo","B","DE","Cebeco",TRUE,TRUE,TRUE,1993
"BRISONr_6","Memory","B","DE","Secobra Recherches",TRUE,TRUE,FALSE,2013
"BRISONr_60","Kalahari","B","EU","LIMAGRAIN GmbH",TRUE,TRUE,FALSE,2010
"BRISONr_61","Intro","B","DE,FRA","RAGT 2N",TRUE,TRUE,FALSE,2011
"BRISONr_62","Oxal","B","DE","RAGT/Mellinger",TRUE,TRUE,FALSE,2010
"BRISONr_63","Zobel","A","DE","Syngenta Cereals GmbH",TRUE,TRUE,FALSE,2006
"BRISONr_64","Event","E","DE","Saatzucht Josef Breun",TRUE,TRUE,FALSE,2009
"BRISONr_65","Joker","A","DE","DSV",TRUE,TRUE,FALSE,2012
"BRISONr_66","Global","B","DE,AT","RAGT/Mellinger",TRUE,TRUE,FALSE,2009
"BRISONr_67","Elixer","C","DE","v. Borris-Eckendorf",TRUE,TRUE,TRUE,2012
"BRISONr_68","Fedor","A","DE","W. von Borries-Eckendorf",TRUE,TRUE,FALSE,2007
"BRISONr_69","Türkis","A","DE","Lantmaennen SW Seed Hadmersleben GmbH",TRUE,TRUE,TRUE,2004
"BRISONr_7","Kurt","B","DE","LIMAGRAIN GmbH ",TRUE,TRUE,FALSE,2013
"BRISONr_70","Skagen","E","DE","v. Borris-Eckendorf",TRUE,TRUE,FALSE,2006
"BRISONr_71","Greif","B","DE","Lochow-Petkus",TRUE,TRUE,TRUE,1989
"BRISONr_72","Esket","A","DE","RAGT/Mellinger",TRUE,TRUE,FALSE,2007
"BRISONr_73","Primus","B","DE","DSV",TRUE,TRUE,FALSE,2009
"BRISONr_74","Skalmeje","C","DE","KWS Lochow GmbH",TRUE,TRUE,FALSE,2006
"BRISONr_75","Genius","E","DE","Nordsaat Saatzucht",TRUE,TRUE,FALSE,2010
"BRISONr_76","Enorm","E","DE","Schweiger",TRUE,TRUE,FALSE,2002
"BRISONr_77","Florian","E","DE","Nordsaat Saatzucht",TRUE,TRUE,FALSE,2010
"BRISONr_78","Skater","B","DE","Limagrain-Nickerson",TRUE,TRUE,FALSE,2000
"BRISONr_79","Brilliant","A","DE","SW Seeds",TRUE,TRUE,FALSE,2005
"BRISONr_8","Zappa","Ck","DE","Ackermann Saatzucht",TRUE,TRUE,FALSE,2009
"BRISONr_80","Inspiration","B","DE","Saatzucht Josef Breun GmbH & Co.KG",TRUE,TRUE,TRUE,2007
"BRISONr_81","Apertus","A","DE","Dr. Hermann Strube",TRUE,TRUE,FALSE,2013
"BRISONr_82","Ellvis","A","DE","Breun",TRUE,TRUE,FALSE,2002
"BRISONr_83","Edgar","B","DE","LIMAGRAIN GmbH",TRUE,TRUE,FALSE,2010
"BRISONr_84","Maris Huntsman","A","DE","Nordsaat",TRUE,TRUE,FALSE,1975
"BRISONr_85","SY Ferry","B","DE","Syngenta Seeds GmbH",TRUE,TRUE,FALSE,2012
"BRISONr_86","Landsknecht","C","DE","Secobra Recherches",TRUE,TRUE,FALSE,2013
"BRISONr_87","Sponsor",NA,"FR, IE"," Unisigma",TRUE,TRUE,FALSE,1994
"BRISONr_88","Impression","A","DE","Saatzucht Schweiger GbR",TRUE,TRUE,FALSE,2005
"BRISONr_89","Winnetou","C","DE","Saatzucht Firlbeck",TRUE,TRUE,FALSE,2002
"BRISONr_9","Chevalier","A","EU","DSV ",TRUE,TRUE,FALSE,2005
"BRISONr_90","Toronto","A","DE","Strengs Erben",TRUE,TRUE,FALSE,1990
"BRISONr_91","Torrild","A","DE","v. Borris-Eckendorf",TRUE,TRUE,FALSE,2005
"BRISONr_92","Contra","C","DE","Saatzucht Breun",TRUE,TRUE,TRUE,1990
"BRISONr_93","Schamane","A","DE","Saatzucht Engelen Buechling e.K.",TRUE,TRUE,FALSE,2005
"BRISONr_94","Granada","B","DE","Schweiger",TRUE,TRUE,FALSE,1980
"BRISONr_95","KWS Cobalt","A","DE","KWS LOCHOW GMBH",TRUE,TRUE,FALSE,2013
"BRISONr_96","Tommi","A","DE","Nordsaat",TRUE,TRUE,TRUE,2002
"BRISONr_97","Saturn","B","DE","MPI",TRUE,TRUE,FALSE,1973
"BRISONr_98","Severin","A9",NA,"Bauer, G.",TRUE,TRUE,FALSE,1980
"BRISONr_99","JB Asano","A","DE","Saatzucht Josef Breun GmbH & Co.KG",TRUE,TRUE,TRUE,2008
"BRISONr_221","Julius","A",NA,"KWS Lochow",FALSE,TRUE,TRUE,2008
"BRISONr_222","RGT Reform","A",NA,"RAGT",FALSE,TRUE,TRUE,2014
"BRISONr_223","Benchmark","B",NA,"Sejet",FALSE,TRUE,TRUE,2015
"BRISONr_224","Barranco","E",NA,"Secobra",FALSE,TRUE,TRUE,2016
"BRISONr_225","Nordkap","A",NA,"Nordsaat",FALSE,TRUE,TRUE,2016
"BRISONr_226","Porthus","B",NA,"Strube",FALSE,TRUE,TRUE,2016
"BRISONr_227","Sheriff","C",NA,"ISZ/Sejet",FALSE,TRUE,TRUE,2016
"BRISONr_228","Apostel","A",NA,"Streng",FALSE,TRUE,TRUE,2016
