BRISONr;Treatment;Block;Row;Column;Year;Location;Subtrial;Sowing_date;Emergence_date;BBCH59;BBCH87;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Stripe_rust;Powdery_mildew;Leaf_rust;Septoria;DTR;Fusarium;Falling_number;Crude_protein;Sedimentation;Subblock
BRISONr_153;HN_NF;B2;21;8;2019;KIE;1;282;292;NA;NA;NA;62.06;534.08;1104;34.01;34.05;325;NA;NA;NA;NA;NA;NA;NA;12.79;40;SB90
BRISONr_69;HN_NF;B2;22;8;2019;KIE;1;282;292;NA;NA;NA;79.54;753;1425.34;37.54;35.72;383.33;NA;NA;NA;NA;NA;NA;NA;11.6;18;SB90
BRISONr_20;HN_NF;B2;23;8;2019;KIE;1;282;291;NA;NA;NA;65.64;769.83;1484.41;33.63;36.24;441.67;NA;NA;NA;NA;NA;NA;NA;12.59;36;SB90
BRISONr_135;HN_NF;B2;24;8;2019;KIE;1;282;291;NA;NA;NA;62.81;853.42;1816.16;39.58;40.79;450;NA;NA;NA;NA;NA;NA;NA;12.46;52;SB90
BRISONr_205;HN_NF;B2;21;9;2019;KIE;1;282;291;NA;NA;NA;48.92;946.42;1986.58;29.45;31.7;558.33;NA;NA;NA;NA;NA;NA;NA;13.73;49;SB102
BRISONr_207;HN_NF;B2;22;9;2019;KIE;1;282;291;NA;NA;NA;70.3;929.75;1798.42;36.21;37.04;483.33;NA;NA;NA;NA;NA;NA;NA;13.42;51;SB102
BRISONr_71;HN_NF;B2;23;9;2019;KIE;1;282;291;NA;NA;NA;80.07;595.08;1104.5;38.56;37.18;350;NA;NA;NA;NA;NA;NA;NA;11.98;29;SB102
BRISONr_222;HN_NF;B2;24;9;2019;KIE;1;282;291;NA;NA;NA;86.87;811.25;1499.75;42.55;42.41;425;NA;NA;NA;NA;NA;NA;NA;11.29;40;SB102
BRISONr_176;HN_NF;B2;21;10;2019;KIE;1;282;291;NA;NA;NA;47.26;508.83;1147.25;37.94;38.92;333.33;NA;NA;NA;NA;NA;NA;NA;13.86;49;SB114
BRISONr_227;HN_NF;B2;22;10;2019;KIE;1;282;292;NA;NA;NA;77.9;830.83;1550.41;32.25;34.99;441.67;NA;NA;NA;NA;NA;NA;NA;10.52;15;SB114
BRISONr_47;HN_NF;B2;23;10;2019;KIE;1;282;291;NA;NA;NA;82.65;726.58;1388.25;37.55;39.2;383.33;NA;NA;NA;NA;NA;NA;NA;11.51;39;SB114
BRISONr_224;HN_NF;B2;24;10;2019;KIE;1;282;291;NA;NA;NA;83.27;590.92;1154.17;41.38;39.6;266.67;NA;NA;NA;NA;NA;NA;NA;11.82;45;SB114
BRISONr_27;HN_NF;B2;21;11;2019;KIE;1;282;291;NA;NA;NA;58.09;579.83;1280.58;36.2;32.04;266.67;NA;NA;NA;NA;NA;NA;NA;12.67;19;SB126
BRISONr_162;HN_NF;B2;22;11;2019;KIE;1;282;291;NA;NA;NA;64.35;753.5;1594.5;36.94;39.05;475;NA;NA;NA;NA;NA;NA;NA;11.83;28;SB126
BRISONr_110;HN_NF;B2;23;11;2019;KIE;1;282;289;NA;NA;NA;61.46;620.25;1333.5;36.48;37.26;391.67;NA;NA;NA;NA;NA;NA;NA;11.67;32;SB126
BRISONr_126;HN_NF;B2;24;11;2019;KIE;1;282;289;NA;NA;NA;65.32;740.42;1589.5;35.06;35.67;466.67;NA;NA;NA;NA;NA;NA;NA;12.42;28;SB126
BRISONr_145;HN_NF;B2;21;12;2019;KIE;1;282;289;NA;NA;NA;73.1;659.25;1402.92;38.01;36.69;350;NA;NA;NA;NA;NA;NA;NA;12.39;42;SB138
BRISONr_99;HN_NF;B2;22;12;2019;KIE;1;282;289;NA;NA;NA;83.03;915.25;1824.59;43.96;46.35;466.67;NA;NA;NA;NA;NA;NA;NA;11.59;32;SB138
BRISONr_221;HN_NF;B2;23;12;2019;KIE;1;282;291;NA;NA;NA;86.21;1071.42;2122.5;41.43;43.63;616.67;NA;NA;NA;NA;NA;NA;NA;11.07;33;SB138
BRISONr_188;HN_NF;B2;24;12;2019;KIE;1;282;291;NA;NA;NA;75.01;778;1620.75;41.89;38.92;450;NA;NA;NA;NA;NA;NA;NA;12.07;36;SB138
BRISONr_228;HN_NF;B2;21;13;2019;KIE;1;282;291;NA;NA;NA;79.73;916.42;1782.92;44.63;45.07;491.67;NA;NA;NA;NA;NA;NA;NA;12.45;20;SB150
BRISONr_166;HN_NF;B2;22;13;2019;KIE;1;282;291;NA;NA;NA;69.39;837.25;1783.91;39.13;39.03;508.33;NA;NA;NA;NA;NA;NA;NA;11.59;14;SB150
BRISONr_104;HN_NF;B2;23;13;2019;KIE;1;282;291;NA;NA;NA;68.01;713.5;1474.58;35.35;35.24;416.67;NA;NA;NA;NA;NA;NA;NA;9.87;24;SB150
BRISONr_213;HN_NF;B2;24;13;2019;KIE;1;282;291;NA;NA;NA;84.27;1201.08;2365.67;42.75;42.43;691.67;NA;NA;NA;NA;NA;NA;NA;11.45;34;SB150
BRISONr_121;HN_NF;B3;45;1;2019;KIE;1;282;289;NA;206;NA;72.09;964.92;1940.59;38.69;37.25;566.67;0.0045;0;0.025;0.025;NA;NA;NA;11.31;34;SB12
BRISONr_99;HN_NF;B3;46;1;2019;KIE;1;282;289;NA;199;NA;77.08;848.92;1608.09;43.77;45.09;366.67;0;0;0.025;0.025;NA;NA;NA;11.44;32;SB12
BRISONr_223;HN_NF;B3;47;1;2019;KIE;1;282;289;NA;204;NA;85.05;904.25;1666.25;41.26;41.99;450;0;0;0.01;0;NA;NA;NA;9.82;22;SB12
BRISONr_38;HN_NF;B3;48;1;2019;KIE;1;282;289;NA;204;NA;83.81;1096.17;2100.41;37;39.29;575;0;0;0.15;0;NA;NA;NA;11.15;33;SB12
BRISONr_160;HN_NF;B3;45;2;2019;KIE;1;282;289;NA;206;NA;63.93;548.25;1155.75;37.13;36.84;341.67;0.001;0;0.04;0.025;NA;NA;NA;11.49;29;SB24
BRISONr_135;HN_NF;B3;46;2;2019;KIE;1;282;289;NA;206;NA;64.46;450.08;912.09;39.46;42.02;216.67;0;0;0.02;0;NA;NA;NA;12.01;50;SB24
BRISONr_50;HN_NF;B3;47;2;2019;KIE;1;282;289;NA;204;NA;76.57;991.33;1988.25;38.78;41.02;466.67;0;0;0.063;0.01;NA;NA;NA;11.27;32;SB24
BRISONr_222;HN_NF;B3;48;2;2019;KIE;1;282;291;NA;206;NA;85.4;991.33;1828.09;40.63;45.24;500;0;0;0.05;0.03;NA;NA;NA;11.27;41;SB24
BRISONr_164;HN_NF;B3;45;3;2019;KIE;1;282;289;NA;206;NA;51.39;614.5;1410.66;35.72;32.96;383.33;NA;NA;NA;NA;NA;NA;NA;12.08;27;SB36
BRISONr_31;HN_NF;B3;46;3;2019;KIE;1;282;289;NA;204;NA;81.92;813.67;1543.25;37.76;38.28;441.67;0;0;0.006;0.05;NA;NA;NA;11.27;21;SB36
BRISONr_59;HN_NF;B3;47;3;2019;KIE;1;282;289;NA;206;NA;68.78;740.67;1434.59;34.72;36.65;391.67;0;0;0.04;0.05;NA;NA;NA;8.67;20;SB36
BRISONr_221;HN_NF;B3;48;3;2019;KIE;1;282;291;NA;206;NA;79.72;859.25;1609.16;42.35;41.94;458.33;0;0;0.03;0.03;NA;NA;NA;10.77;30;SB36
BRISONr_54;HN_NF;B3;45;4;2019;KIE;1;282;291;NA;206;NA;79.7;1048.17;2082.84;38.65;36.23;591.67;0;0;0.15;0;NA;NA;NA;11.07;32;SB48
BRISONr_205;HN_NF;B3;46;4;2019;KIE;1;282;289;NA;199;NA;61.34;633.92;1426.16;30.67;28.5;391.67;0;0;0.01;0.01;NA;NA;NA;12.75;48;SB48
BRISONr_118;HN_NF;B3;47;4;2019;KIE;1;282;289;NA;204;NA;76.74;578.92;1146.25;39.86;38.48;308.33;0;0;0.048;0.05;NA;NA;NA;11.71;31;SB48
BRISONr_169;HN_NF;B3;48;4;2019;KIE;1;282;289;NA;204;NA;73.23;756.08;1550.92;35.2;37.29;400;0;0;0.01;0.05;NA;NA;NA;11.34;20;SB48
BRISONr_176;HN_NF;B3;45;5;2019;KIE;1;282;289;NA;204;NA;51.18;543;1232.34;40.93;40.53;350;0.04;0;0.04;0.025;NA;NA;NA;13.16;52;SB60
BRISONr_80;HN_NF;B3;46;5;2019;KIE;1;282;291;NA;206;NA;83;788.58;1531.92;40.63;40.45;416.67;0;0;0.01;0.025;NA;NA;NA;11.49;20;SB60
BRISONr_225;HN_NF;B3;47;5;2019;KIE;1;282;289;NA;206;NA;90.16;963.75;1865.83;42.55;42.15;441.67;0.0025;0;0.015;0.025;NA;NA;NA;11.45;37;SB60
BRISONr_150;HN_NF;B3;48;5;2019;KIE;1;282;289;NA;204;NA;66.89;578.58;1301.25;39.06;39.03;358.33;0;0;0.03;0.025;NA;NA;NA;12.09;35;SB60
BRISONr_131;HN_NF;B3;45;6;2019;KIE;1;282;291;NA;206;NA;72.78;760.42;1658.83;43.23;39.6;433.33;0.002;0;0.025;0.025;NA;NA;NA;11.48;25;SB72
BRISONr_228;HN_NF;B3;46;6;2019;KIE;1;282;291;NA;204;NA;84.3;987.5;1860.5;45.35;46.54;508.33;0.00225;0;0.015;0.06;NA;NA;NA;12.36;34;SB72
BRISONr_20;HN_NF;B3;47;6;2019;KIE;1;282;291;NA;206;NA;73.92;650.5;1266.41;36.32;35.7;391.67;0;0;0.01;0.04;NA;NA;NA;11.8;32;SB72
BRISONr_153;HN_NF;B3;48;6;2019;KIE;1;282;291;NA;206;NA;69.04;810;1682.17;35.68;38.49;500;0;0;0.005;0.06;NA;NA;NA;12.18;37;SB72
BRISONr_145;HN_NF;B3;45;7;2019;KIE;1;282;291;NA;206;NA;76.27;905.5;1869.34;39.71;36.79;491.67;0;0;0.025;0.025;NA;NA;NA;11.63;47;SB84
BRISONr_27;HN_NF;B3;46;7;2019;KIE;1;282;291;NA;206;NA;62.96;841.58;1725;35.35;34.51;533.33;0.0075;0;0.04;0.009;NA;NA;NA;12.27;15;SB84
BRISONr_71;HN_NF;B3;47;7;2019;KIE;1;282;289;NA;204;NA;81.88;949.42;2124.42;39.57;38.76;700;0;0;0.025;0.025;NA;NA;NA;11.65;29;SB84
BRISONr_104;HN_NF;B3;48;7;2019;KIE;1;282;289;NA;204;NA;76.63;785.25;1536.59;34.87;36.05;391.67;0;0;0.01;0.025;NA;NA;NA;11.95;29;SB84
BRISONr_224;HN_NF;B3;45;8;2019;KIE;1;282;291;NA;204;NA;82.84;958.08;1888.67;42.35;38.98;466.67;0;0;0.01;0.04;NA;NA;NA;11.68;22;SB96
BRISONr_114;HN_NF;B3;46;8;2019;KIE;1;282;289;NA;204;NA;63.63;523.25;1162.42;36.15;37.1;333.33;0;0;0.01;0.0045;NA;NA;NA;12.2;30;SB96
BRISONr_207;HN_NF;B3;47;8;2019;KIE;1;282;291;NA;204;NA;67.23;717.42;1412.5;38.51;37.14;383.33;0;0;0.025;0.05;NA;NA;NA;12.47;48;SB96
BRISONr_47;HN_NF;B3;48;8;2019;KIE;1;282;289;NA;206;NA;82.53;805.08;1456.42;38.22;39.07;400;0;0;0.005;0.025;NA;NA;NA;11.61;36;SB96
