"Parameter","Environment","Ab_BP","Ab_BPsd","Ab_BPCIl","Ab_BPCIu","v1970","v2010","p","R2"
"Sedimentation","2018/KIE/HN_NF_RF",-0.00899157226498293,0.0314658491646531,-0.0732534093280833,0.0552702647981175,41.8918755596696,41.5322126690703,0.3489,0
"Sedimentation","2018/KIE/HN_WF_RF",-0.00715042162702976,0.0312292332993532,-0.070842862861711,0.0565420196076515,42.0415299291285,41.7555130640473,0.3734,0
"Sedimentation","2018/KIE/LN_WF_RF",0.0313682679848657,0.0205226103091957,-0.0104878716958925,0.073224407665624,19.6326287959075,20.8873595153021,0.3099,0.07
"Sedimentation","2019/HAN/HN_NF_RF",-0.050614388326615,0.0347157885782395,-0.121417705934189,0.0201889292809594,41.6540009777692,39.6294254447046,0.0493,0.06
"Sedimentation","2019/HAN/HN_WF_RF",-0.0281192495310182,0.0464529771576197,-0.122860721069129,0.0666222220070924,41.5835282427159,40.4587582614752,0.3023,0.01
"Sedimentation","2019/HAN/LN_WF_RF",-0.0651997478202573,0.0176285159842196,-0.101153343210087,-0.0292461524304274,23.8469352396306,21.2389453268203,1e-04,0.31
"Sedimentation","2019/KAL/HN_WF_RF",-0.0024201453626545,0.00516693398174155,-0.0126180787322025,0.00777778800689354,13.4853747577427,13.3885689432366,0.079,0
"Sedimentation","2019/KAL/LN_WF_RF",0.0355156678533953,0.00535602186246906,0.0249445333522937,0.0460868023544968,10.948449857636,12.3690765717719,0,0.2
"Sedimentation","2019/KIE/HN_NF_RF",0.0258469787728674,0.0308330023916768,-0.03703734419773,0.0887313017434649,32.0356458593023,33.069525010217,0.7603,0.02
"Sedimentation","2019/KIE/HN_WF_RF",0.0185166984876624,0.0280100070400349,-0.0386100875041468,0.0756434844794715,32.7272395193377,33.4679074588442,0.9468,0.01
"Sedimentation","2019/KIE/LN_WF_RF",0.0519774459263402,0.0217405770324191,0.00763724673630448,0.0963176451163759,20.0556932613617,22.1347910984153,0.0663,0.16
"Sedimentation","2020/KAL/HN_WF_RF",-0.00957601225326789,0.0162479887336839,-0.0416445285301928,0.022492504023657,45.2860327424041,44.9029922522734,0.0499,0
"Sedimentation","2020/KAL/LN_WF_RF",-0.00776822053351254,0.00546855771588128,-0.0185614660851594,0.00302502501813437,15.8793247797749,15.5685959584344,0.0049,0.01
"Seedyield","2015/GGE/HN_WF_RF",0.258608956640856,0.00972317963807747,0.23942287888074,0.277795034400972,46.1435249788028,56.4878832444369,0,0.8
"Seedyield","2015/HAN/HN_NF_RF",0.654194760537832,0.0270176249883357,0.60088275014466,0.707506770931004,50.1033923628131,76.2711827843264,0,0.77
"Seedyield","2015/HAN/HN_WF_RF",0.568927054970881,0.0143748161940884,0.540562224580718,0.597291885361044,75.6181647194292,98.3752469182643,0,0.9
"Seedyield","2015/KAL/HN_NF_RF",0.677152074963503,0.02978239217481,0.618384540739364,0.735919609187643,73.2295493604252,100.315632358965,0,0.74
