Date;Location;Temperature.Air.Mean_C;Precipitation_mm_d;Relative.Air.Humidity_percent;Global.Radiation_MJ_m2_d;Wind.Speed_m_s;Temperature.Air.Min_C;Temperature.Air.Max_C
2014-11-17;KIE;8,4;0,9;94,1;2,22;3,6;6,9;10,9
2014-11-18;KIE;8,4;0,6;90,4;1,10;5,8;7,4;9,2
2014-11-19;KIE;7,6;0,1;92,2;1,07;4,8;7,1;8,3
2014-11-20;KIE;6,0;0,0;91,2;2,77;2,3;3,4;8,2
2014-11-21;KIE;3,9;0,0;97,8;1,78;1,3;1,3;6,8
2014-11-22;KIE;4,4;2,7;91,6;1,02;4,2;1,7;6,1
2014-11-23;KIE;6,3;2,7;89,7;1,58;4,2;4,6;9,0
2014-11-24;KIE;8,1;1,5;89,6;3,29;4,5;4,5;10,4
2014-11-25;KIE;3,2;0,0;96,9;3,83;1,7;-0,1;8,7
2014-11-26;KIE;3,5;0,0;91,7;3,03;4,3;0,5;6,2
2014-11-27;KIE;3,3;0,9;84,2;3,32;6,5;2,2;4,7
2014-11-28;KIE;1,9;0,9;80,4;2,03;8,3;0,7;3,3
2014-11-29;KIE;0,7;0,9;80,2;0,90;6,0;-0,1;1,4
2014-11-30;KIE;-0,1;0,9;87,3;0,88;6,0;-0,7;1,1
2014-12-01;KIE;-1,9;6,0;86,7;1,00;6,5;-3,0;0,5
2014-12-02;KIE;-3,0;6,0;86,6;0,86;3,0;-3,6;-1,4
2014-12-03;KIE;-0,1;6,0;89,1;0,85;2,7;-1,8;1,4
2014-12-04;KIE;2,2;1,6;90,4;0,84;3,8;0,2;4,0
2014-12-05;KIE;2,3;0,0;95,7;0,82;3,0;1,6;3,0
2014-12-06;KIE;3,6;0,0;94,7;2,85;3,5;0,5;7,4
2014-12-07;KIE;3,4;9,9;94,9;0,81;5,5;0,3;5,3
2014-12-08;KIE;3,0;11,4;93,4;1,13;5,0;1,6;4,4
2014-12-09;KIE;2,3;2,3;96,3;0,79;4,5;1,6;3,2
2014-12-10;KIE;4,2;3,4;88,1;1,49;6,9;2,8;6,2
2014-12-11;KIE;3,5;16,6;90,0;0,85;6,2;1,0;5,3
2014-12-12;KIE;5,2;13,7;91,3;0,77;7,5;1,8;8,6
2014-12-13;KIE;3,9;0,4;89,2;2,03;5,6;1,1;5,6
